Date,Adj Close,Close,High,Low,Open,Volume
12-12-80,0.09883447,0.128347993,0.128905997,0.128347993,0.128347993,469033600
15-12-80,0.093678214,0.121652,0.122210003,0.121652,0.122210003,175884800
16-12-80,0.086802408,0.112723,0.113280997,0.112723,0.113280997,105728000
17-12-80,0.088950872,0.115512997,0.116071001,0.115512997,0.115512997,86441600
18-12-80,0.091529764,0.118862003,0.119419999,0.118862003,0.118862003,73449600
19-12-80,0.097115695,0.126115993,0.126673996,0.126115993,0.126115993,48630400
22-12-80,0.101842329,0.132254004,0.132813007,0.132254004,0.132254004,37363200
23-12-80,0.10613998,0.137834996,0.138393,0.137834996,0.137834996,46950400
24-12-80,0.111725859,0.145089,0.145647004,0.145089,0.145089,48003200
26-12-80,0.122039191,0.158482,0.159040004,0.158482,0.158482,55574400
29-12-80,0.123757936,0.160714,0.161272004,0.160714,0.160714,93161600
30-12-80,0.120750137,0.156808004,0.157365993,0.156808004,0.157365993,68880000
31-12-80,0.117312618,0.152344003,0.152902007,0.152344003,0.152902007,35750400
02-01-81,0.118601672,0.154018,0.155134007,0.154018,0.154018,21660800
05-01-81,0.11602354,0.150670007,0.151227996,0.150670007,0.151227996,35728000
06-01-81,0.110866457,0.143972993,0.144530997,0.143972993,0.144530997,45158400
07-01-81,0.10613998,0.137834996,0.138393,0.137834996,0.138393,55686400
08-01-81,0.103991516,0.135045007,0.135602996,0.135045007,0.135602996,39827200
09-01-81,0.109577484,0.142298996,0.142857,0.142298996,0.142298996,21504000
12-01-81,0.108718075,0.141183004,0.142298996,0.141183004,0.142298996,23699200
13-01-81,0.104850866,0.136161,0.136719003,0.136161,0.136719003,23049600
14-01-81,0.105280563,0.136719003,0.137277007,0.136719003,0.136719003,14291200
15-01-81,0.107429035,0.139509007,0.140625,0.139509007,0.139509007,14067200
16-01-81,0.10656964,0.138393,0.138951004,0.138393,0.138951004,13395200
19-01-81,0.113014929,0.146762997,0.147321001,0.146762997,0.146762997,41574400
20-01-81,0.109577484,0.142298996,0.142857,0.142298996,0.142857,30083200
21-01-81,0.111725859,0.145089,0.146204993,0.145089,0.145089,15904000
22-01-81,0.113014929,0.146762997,0.147879004,0.146762997,0.146762997,35548800
23-01-81,0.112585276,0.146204993,0.147321001,0.146204993,0.146762997,11222400
